Method Goal Errors:
  Player 1: [0.2588, 0.2376, 0.008, 0.2569, 0.0551, 0.0183, 0.2657, 0.0126, 0.313]
  Player 2: [0.2553, 0.2503, 0.0108, 0.2406, 0.054, 0.0138, 0.2237, 0.0072, 0.2355]
  Player 3: [0.21, 0.2095, 0.0, 0.1584, 0.0003, 0.0001, 0.0832, 0.0, 0.0913]
  Player 4: [0.3055, 0.2809, 0.0001, 0.2721, 0.0271, 0.0041, 0.2419, 0.0001, 0.2112]
Trial 6:
  Player 1: [0.2594, 0.26, 0.257, 0.0049, 0.2586, 0.2604, 0.2682, 0.2985, 0.2916]
  Player 2: [0.255, 0.2502, 4.6662, 0.0202, 0.2356, 0.2285, 0.2255, 0.2381, 0.2146]
  Player 3: [0.2425, 0.1363, 0.1129, 0.0, 0.1887, 0.1853, 0.1718, 0.0258, 0.044]
  Player 4: [0.3061, 0.2953, 0.1727, 0.0041, 0.2608, 0.255, 0.2405, 0.2282, 0.2343]
Trial 7:
  Player 1: [0.2594, 0.26, 0.243, 0.0057, 0.0128, 0.2604, 0.2658, 0.0098, 0.2953]
  Player 2: [0.2551, 0.2502, 0.2176, 0.0079, 0.0534, 0.2286, 0.2237, 0.0084, 0.2234]
  Player 3: [0.2166, 0.1136, 0.1661, 0.0013, 0.0007, 0.1857, 0.0776, 0.0004, 0.041]
  Player 4: [0.2917, 0.2951, 0.2625, 0.0016, 0.027, 0.2404, 0.24, 0.0007, 0.2191]
Trial 8:
  Player 1: [0.2594, 0.2601, 0.259, 0.2568, 0.2602, 0.2604, 0.2653, 0.0169, 0.0098]
  Player 2: [0.2551, 0.2503, 0.245, 0.2408, 0.239, 0.2286, 0.2235, 0.0062, 0.0079]
  Player 3: [0.2425, 0.1137, 0.2138, 0.1592, 0.429, 0.1857, 0.1477, 0.0, 0.0009]
  Player 4: [0.3061, 0.2951, 0.2898, 0.2722, 0.2597, 0.2387, 0.2429, 0.0003, 0.0008]
Trial 9:
  Player 1: [0.2595, 0.2601, 0.2574, 0.2568, 0.2583, 0.2604, 0.266, 0.0506, 0.2916]
  Player 2: [0.255, 0.2501, 0.2417, 0.2407, 0.2343, 0.2285, 0.2237, 0.0471, 0.2149]
  Player 3: [0.2274, 0.1842, 0.1558, 0.1777, 0.1054, 0.1858, 0.1103, 0.0001, 0.044]
  Player 4: [0.3062, 0.2953, 0.29, 0.2721, 0.2612, 0.2517, 0.2321, 0.0259, 0.2306]
Trial 10:
  Player 1: [0.054, 0.26, 0.2535, 0.0046, 0.257, 0.2608, 0.0103, 0.017, 0.0124]
  Player 2: [0.0555, 0.2502, 0.2448, 0.0095, 0.2378, 0.2285, 0.0055, 0.0136, 0.012]
  Player 3: [0.0712, 0.1137, 0.6501, 0.0013, 0.1499, 0.1861, 0.0, 0.0, 0.0014]
  Player 4: [0.0271, 0.2951, 0.2868, 0.0273, 0.2608, 0.2343, 0.001, 0.0003, 0.0008]
Trial 11:
  Player 1: [0.2595, 0.2601, 0.2545, 0.0553, 0.2583, 0.2588, 0.0145, 0.2765, 0.0164]
  Player 2: [0.2551, 0.2501, 0.2363, 0.0572, 0.2342, 0.2141, 0.0098, 0.2231, 0.011]
  Player 3: [0.2424, 0.1364, 0.2024, 0.0104, 0.1119, 0.3019, 0.0, 0.1489, 0.0]
  Player 4: [0.3061, 0.2952, 0.2842, 0.0267, 0.2612, 0.247, 0.0042, 0.2135, 0.0003]
Trial 12:
  Player 1: [0.2594, 0.0535, 0.2565, 0.2569, 0.2583, 0.2604, 0.2662, 0.0083, 3.5633]
  Player 2: [0.2551, 0.0574, 0.2459, 0.2406, 0.2342, 0.2286, 0.2196, 0.0074, 0.1822]
  Player 3: [0.2225, 0.027, 0.1697, 0.1593, 0.1998, 0.0291, 0.1173, 0.0004, 0.1527]
  Player 4: [0.306, 0.0273, 0.2837, 0.2721, 0.261, 0.253, 0.2221, 0.0008, 0.1456]
Trial 13:
  Player 1: [0.2594, 0.26, 0.0056, 0.2598, 0.2583, 0.2582, 0.0083, 0.2987, 0.0137]
  Player 2: [0.2551, 0.2503, 0.0118, 0.237, 0.2342, 0.2309, 0.0074, 0.2379, 0.0089]
  Player 3: [0.1669, 0.1363, 0.0008, 0.1604, 0.0992, 0.0907, 0.0009, 0.1077, 0.0]
  Player 4: [0.3059, 0.2953, 0.0013, 0.2725, 0.2611, 0.2527, 0.0265, 0.2355, 0.0003]
Trial 14:
  Player 1: [0.2303, 0.2601, 0.2831, 0.0279, 0.2583, 0.2604, 0.2646, 0.0091, 0.2914]
  Player 2: [0.2309, 0.2503, 0.2577, 0.0286, 0.2343, 0.2285, 0.2254, 0.0074, 0.2152]
  Player 3: [0.1955, 0.2344, 0.2188, 0.0, 0.1266, 0.1858, 0.0254, 0.0001, 0.0433]
  Player 4: [0.2996, 0.2951, 0.2841, 0.0002, 0.2608, 0.2473, 0.2406, 0.0042, 0.2174]
Trial 15:
  Player 1: [0.2666, 0.26, 0.2555, 0.2606, 0.2582, 0.013, 0.0153, 0.0161, 0.2916]
  Player 2: [1.829, 0.2501, 0.242, 0.2424, 0.2341, 0.0138, 0.0128, 0.0119, 0.2148]
  Player 3: [0.0954, 0.2344, 0.156, 0.1602, 0.1265, 0.0, 0.0, 0.0, 0.0433]
  Player 4: [0.3002, 0.2951, 0.2833, 0.2514, 0.2609, 0.0011, 0.0003, 0.0003, 0.2234]
Trial 16:
  Player 1: [0.2594, 0.2601, 0.0139, 0.0181, 0.2583, 0.2747, 0.2658, 0.0518, 0.0164]
  Player 2: [0.255, 0.2501, 0.0108, 0.0202, 0.2342, 0.2356, 0.2236, 0.0476, 0.0046]
  Player 3: [0.2425, 0.1136, 0.0, 0.0, 0.0874, 0.1047, 0.0849, 0.0, 0.0]
  Player 4: [0.306, 0.2951, 0.0004, 0.0002, 0.2614, 0.2359, 0.2415, 0.0258, 0.0]
Trial 17:
  Player 1: [0.26, 0.2601, 0.243, 0.2567, 0.2576, 0.0118, 0.2781, 0.2819, 0.2301]
  Player 2: [0.2547, 0.25, 0.2179, 0.2417, 0.2374, 0.0089, 0.2417, 0.2285, 0.1564]
  Player 3: [0.1261, 0.1246, 0.1239, 0.6153, 0.0371, 0.0, 0.1297, 0.0305, 0.1258]
  Player 4: [0.3058, 0.2951, 0.2823, 0.274, 0.2623, 0.0005, 0.2393, 0.2528, 0.1343]
Trial 18:
  Player 1: [0.2539, 0.0188, 0.0187, 0.2463, 0.2613, 0.2606, 0.0089, 0.3125, 0.2902]
  Player 2: [0.2496, 0.021, 0.0168, 0.2281, 0.2403, 0.2284, 0.0086, 0.2193, 0.2206]
  Player 3: [0.1979, 0.001, 0.0, 0.4826, 0.1396, 0.1861, 0.0001, 0.0755, 0.1422]
  Player 4: [0.2918, 0.0004, 0.0041, 0.2716, 0.2606, 0.2366, 0.0042, 0.2414, 0.198]
Trial 19:
  Player 1: [0.2595, 0.2601, 0.2566, 0.004, 0.2625, 0.2604, 0.2686, 0.2831, 0.0474]
  Player 2: [0.2551, 0.2503, 0.246, 0.0093, 0.2388, 0.2286, 0.2224, 0.2261, 0.0461]
  Player 3: [0.2494, 0.1137, 0.1697, 0.0017, 0.0867, 0.1858, 0.1733, 0.0612, 0.0005]
  Player 4: [0.3061, 0.2951, 0.2837, 0.0274, 0.2649, 0.2529, 0.2451, 0.2349, 0.0258]
Trial 20:
  Player 1: [0.2569, 0.2605, 0.0046, 0.0206, 0.2887, 0.2604, 0.0678, 0.0119, 0.0163]
  Player 2: [0.2578, 0.25, 0.0097, 0.0247, 0.2382, 0.2284, 0.06, 0.0064, 0.011]
  Player 3: [0.3097, 0.0355, 0.0009, 0.0, 0.3918, 0.1867, 0.0706, 0.0015, 0.0]
  Player 4: [0.2979, 0.2938, 0.001, 0.0039, 0.2719, 0.2393, 0.0286, 0.0005, 0.0003]
Trial 21:
  Player 1: [0.2595, 0.2629, 0.0209, 0.2672, 0.2609, 0.2609, 0.2685, 0.0078, 0.0164]
  Player 2: [0.255, 0.2502, 0.0197, 0.2376, 0.2355, 0.2288, 0.2332, 0.0098, 0.011]
  Player 3: [0.1543, 0.1721, 0.0, 0.1294, 0.1607, 0.1864, 0.1898, 0.0, 0.0]
  Player 4: [0.3061, 0.2939, 0.0007, 0.2484, 0.2686, 0.2344, 0.2258, 0.0041, 0.0003]
Trial 22:
  Player 1: [0.2485, 0.2601, 0.0047, 0.0068, 0.2584, 0.0089, 0.2658, 0.0081, 0.2912]
  Player 2: [0.252, 0.2502, 0.0094, 0.0232, 0.2344, 0.0083, 0.2238, 0.0074, 0.2151]
  Player 3: [0.2241, 0.1364, 0.0, 0.0, 0.0874, 0.0001, 0.0916, 0.0005, 0.0434]
  Player 4: [0.3107, 0.2953, 0.0008, 0.0009, 0.2614, 0.0046, 0.2407, 0.0008, 0.228]
Trial 23:
  Player 1: [0.2595, 0.0983, 0.2566, 0.259, 0.0551, 0.2599, 0.266, 0.0162, 0.2914]
  Player 2: [0.255, 0.0884, 0.2459, 0.2434, 0.054, 0.2284, 0.2237, 0.0119, 0.218]
  Player 3: [0.2424, 0.0082, 0.1673, 0.1465, 0.0, 0.1161, 0.0831, 0.0, 0.054]
  Player 4: [0.3061, 0.0274, 0.2837, 0.267, 0.0271, 0.2499, 0.2333, 0.0003, 0.1802]
Trial 24:
  Player 1: [0.2388, 0.2601, 0.2566, 0.0154, 0.2583, 0.2604, 0.2659, 0.0161, 0.2905]
  Player 2: [0.2319, 0.2502, 0.246, 0.013, 0.2341, 0.2284, 0.2237, 0.012, 0.2202]
  Player 3: [0.1501, 0.1136, 0.1167, 0.0, 0.0874, 0.0262, 0.0924, 0.0, 0.0654]
  Player 4: [0.3067, 0.2951, 0.2837, 0.0044, 0.2614, 0.2521, 0.2219, 0.0003, 0.2198]
Trial 25:
  Player 1: [1.6195, 0.2601, 0.2566, 0.0063, 0.2616, 0.0531, 0.2694, 0.2764, 0.0089]
  Player 2: [0.1237, 0.2502, 0.2461, 0.0148, 0.2415, 0.0548, 0.2333, 0.2193, 0.0024]
  Player 3: [0.1438, 0.1323, 0.1697, 0.0, 0.1318, 0.07, 0.0805, 0.1638, 0.0]
  Player 4: [0.0287, 0.2953, 0.2837, 0.0009, 0.2561, 0.0266, 0.2122, 0.2399, 0.0001]
Trial 26:
  Player 1: [0.2595, 0.2601, 0.0066, 0.2571, 0.0083, 0.2606, 0.2665, 0.2763, 0.2915]
  Player 2: [0.255, 0.2501, 0.0087, 0.2393, 0.0076, 0.2288, 0.2263, 0.222, 0.215]
  Player 3: [0.2237, 0.1363, 0.0, 0.16, 0.0006, 0.1724, 0.0802, 0.0795, 0.0438]
  Player 4: [0.2882, 0.2952, 0.0006, 0.2796, 0.0016, 0.2396, 0.2413, 0.2101, 0.229]
Trial 27:
  Player 1: [0.2765, 0.26, 0.2881, 0.0051, 0.2582, 0.258, 0.2713, 0.0226, 0.0521]
  Player 2: [0.2702, 0.2502, 0.2502, 0.01, 0.2345, 0.2302, 0.232, 0.0129, 0.0475]
  Player 3: [0.1954, 0.1363, 0.1642, 0.0, 0.1055, 0.0784, 0.1736, 0.0, 0.0707]
  Player 4: [0.2942, 0.2953, 0.2799, 0.0002, 0.2611, 0.2594, 0.247, 0.0008, 0.0258]
Trial 28:
  Player 1: [0.2607, 0.2601, 0.2691, 0.2571, 0.2665, 0.2604, 0.0124, 0.0146, 0.0081]
  Player 2: [0.2691, 0.2502, 0.2557, 0.2395, 0.2333, 0.2287, 0.0133, 0.0157, 0.0053]
  Player 3: [0.4712, 0.1454, 0.1808, 0.1601, 0.219, 0.1857, 0.0, 0.0, 0.0]
  Player 4: [0.3059, 0.2952, 0.2846, 0.2796, 0.2661, 0.2513, 0.0003, 0.004, 0.001]
Trial 29:
  Player 1: [0.0094, 0.0259, 0.0557, 0.2571, 0.2584, 0.26, 0.2713, 0.2763, 0.0175]
  Player 2: [0.0123, 0.0236, 0.0565, 0.2394, 0.2344, 0.2127, 0.2276, 0.2197, 0.0097]
  Player 3: [0.0013, 0.0, 0.0629, 0.1601, 0.0874, 0.189, 0.1733, 0.1231, 0.0002]
  Player 4: [0.0004, 0.0002, 0.0671, 0.2795, 0.2612, 0.2602, 0.2563, 0.2375, 0.0254]
Trial 30:
  Player 1: [0.2597, 0.26, 0.2623, 0.2794, 0.2584, 0.2602, 0.0091, 0.0162, 0.0196]
  Player 2: [0.2554, 0.2502, 0.2532, 0.2494, 0.2343, 0.2357, 0.0061, 0.012, 0.011]
  Player 3: [0.1421, 0.1137, 0.1339, 0.2147, 0.1288, 0.0944, 0.0004, 0.0, 0.0008]
